Episode,D-PER-DDQN,PER-DDQN,MS-DDQN
267,253.7160843825673,14,-10.100000000000005
268,235.0,20,-27.70000000000001
269,227.0,15,-22.628932188134534
270,227.0,-93,0.5999999999999979
271,230.0,20,-48.877070541015286
272,235.0,20,-4.0000000000000036
273,227.0,-5,-16.01669733055455
274,222.0,20,-489.77699089889035
275,219.0,18,-49.590665817715234
276,234.97553028484006,15,-9.868362587172207
277,232.0,15,-1.9605696009623301
278,235.27886079807536,13,-33.40000000000001
279,219.0,19,-17.58788039962031
280,227.0,18,-0.9000000000000021
281,232.0,19,-10.610229511364565
282,235.0,14,-8.100000000000001
283,235.0,13,-43.100000000000016
284,235.0,18,-7.210878445072382
285,235.0,19,-7.100000000000005
286,235.0,20,-5.100000000000005
287,222.0,18,-22.892543819324423
288,239.0,7,-13.225589732238312
289,230.0,15,-22.12549653607978
290,227.0,20,-12.799999999999997
291,237.97553028484006,20,0.09999999999999787
292,222.73333206057566,19,-3.6122348575799776
293,245.0,20,0.09999999999999787
294,235.0,8,-0.3999999999999986
295,230.0,20,-13.800000000000004
296,219.0,16,-6.100000000000005
297,235.0,19,0.09999999999999787
298,219.0,19,-5.100000000000005
299,227.0,19,-13.600000000000001
300,237.0,19,-12.740155538155065
301,237.2310562561766,-15,-6.100000000000001
302,235.0,10,-13.800000000000004
303,235.0,13,-10.600000000000005
304,230.0,13,-24.000000000000007
305,235.0,12,-7.500000000000007
306,245.0,14,-8.500000000000007
307,222.0,15,-26.20000000000001
308,237.2310562561766,20,-39.30000000000001
309,235.0,15,-16.700000000000003
310,243.2247140999566,15,-23.440155538155075
311,227.0,15,-7.500000000000007
312,235.0,15,-21.916697330554562
313,235.0,18,-12.100000000000009
314,237.0,20,-24.300000000000004
315,230.0,19,-9.100000000000001
316,235.0,11,3.3000000000000007
317,245.42829235187608,15,-13.240155538155065
318,227.0,20,-16.0
319,235.0,20,-12.0
320,235.0,8,-2.176479669250405
321,239.54824442192682,20,-14.800000000000004
322,240.0,20,-3.8999999999999986
323,237.0,18,-23.02893218813454
324,230.2247140999566,20,-7.100000000000001
325,235.0,17,-16.710229511364567
326,230.0,15,-7.100000000000001
327,235.0,20,-12.799999999999997
328,222.0,20,-5.100000000000001
329,227.0,20,-108.71673086804014
330,235.0,20,-21.016697330554557
331,237.0,13,-22.6
